word,ukrainian,definition
Adjust,Налаштувати,To adjust means to change something slightly to improve comfort or function.
Adjust(chair height),Налаштувати,To adjust chair height means to raise or lower a chair for comfort.
All-in-one,Все в одному,An all-in-one is a computer with the monitor and components built into a single unit.
Alphabet keys,Алфавітні клавіші,Alphabet keys are the letter keys on a keyboard.
Alt key,клавіша Alt,The Alt key is used in combination with other keys for shortcuts.
Antivirus software,Антивірус,software protecting against viruses
Aspect ratio,Співвідношення сторін,ratio of width to height of an image
Attachment,Вкладення,email attachment
Attribution,Атрибуція,author attribution
Backspace key,Клавіша BACKSPACE,The backspace key deletes the character to the left of the cursor.
Backup,Резервна копія,data backup
Bandwidth,Пропускна здатність,connection bandwidth
Battery,"Батарея, Блок живлення",A battery is a device that stores electrical energy and powers electronic equipment.
Bluetooth,Блютуз,Bluetooth is a wireless technology for short-range data exchange.
Bookmark,Закладка,webpage bookmark
Bright,Яскравий,Bright refers to a high level of light or vividness.
Brightness,Яскравість,Brightness refers to the amount of light emitted by a screen.
Browser,Браузер,internet browser
Bug,Помилка,program error
Cable,Кабель,A cable is a wire used to connect devices for power or data transfer.
Calculator keys,Клавіші калькулятора,Calculator keys are special keys used for mathematical operations.
Capacitor,Конденсатор,electronic capacitor
Caps lock key,Клавіша CAPS LOCK,The caps lock key toggles typing between lowercase and uppercase letters.
Card reader,Зчитувач карток,A card reader is a device that reads memory cards.
CD Drive,CD диск,A CD drive is a device that reads data from compact discs.
Charger,Зарядний пристрій,A charger is a device used to replenish the energy of batteries.
Charging(batteries),Заряджати,Charging batteries means supplying energy to restore their power.
Click,Натиск,To click means to press a mouse button.
Click,Натискання,To click means to press a mouse button.
Click on,Натиснути на,To click on means to press a mouse button to select an item on the screen.
Clipboard,Буфер обміну,system clipboard
Cloud storage,Хмарне сховище,storing data in the cloud
Collaborative platform,Платформа для співпраці,online collaboration platform
Command,Команда,system command
Compact,Компактний,Compact means small and efficiently designed.
Compatible,Сумісний,Compatible means able to work with another device or system.
